,a,div_factor,loss_fn,max_lighting,max_rotate,max_warp,max_zoom,model,mom1,mom2,p_affine,size,weight_dec,RMSE
0,"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",61.87103271484375
1,"[0, 0]","[49.55544304223699, 76.55942011833454]","[1, 1]","[0.585487027604307, 0.020890429326840782]","[289.5769459390315, 301.6591636000528]","[0.290812486159196, 0.5914915371555173]","[1.175590414583777, 1.1503292713661921]","[2, 2]","[0.5571014160705955, 0.6918884219813732]","[0.9299245324449257, 0.9832962526646978]","[0.1652647160662512, 0.706420075781504]","[0, 1]","[0.9134033492703713, 0.599386525567577]",
