,a,div_factor,loss_fn,max_lighting,max_rotate,max_warp,max_zoom,model,mom1,mom2,p_affine,size,weight_dec,RMSE
0,"[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","[0, 1]",18.04180908203125
1,"[0, 0]","[19.43700711992099, 12.293250431619887]","[1, 1]","[0.7481656726604625, 0.7956309102102387]","[74.93505707058165, 251.09461156920182]","[0.04724677061889835, 0.22740637678471765]","[1.6185845431971078, 1.8751379172194749]","[2, 1]","[0.5685449899533278, 0.8348297484529952]","[0.9887176361826588, 0.8870149640785882]","[0.5374293076777739, 0.6880294986864918]","[1, 0]","[0.6012695295679944, 0.6797482715004879]",
